Cori;LT;D003
Curinga;CZ;D218
Curino;BI;D219
Curno;BG;D221
Curon Venosta/Graun im Vinschgau;BZ;D222
Cursi;LE;D223
Curtarolo;PD;D226
Curtatone;MN;D227
Curti;CE;D228
Cusago;MI;D229
Cusano Mutri;BN;D230
Cusano Milanino;MI;D231
Cusino;CO;D232
Cusio;BG;D233
Custonaci;TP;D234
Cutro;KR;D236
Cutrofiano;LE;D237
Cuveglio;VA;D238
Cuvio;VA;D239
Daiano;TN;D243
Dairago;MI;D244
Dalmine;BG;D245
Dambel;TN;D246
Danta di Cadore;BL;D247
Darfo Boario Terme;BS;D251
Dasà;VV;D253
Davagna;GE;D255
Daverio;VA;D256
Davoli;CZ;D257
Dazio;SO;D258
Decimomannu;CA;D259
Decimoputzu;SU;D260
Decollatura;CZ;D261
Dego;SV;D264
Deiva Marina;SP;D265
Delebio;SO;D266
Delia;CL;D267
Delianuova;RC;D268
Deliceto;FG;D269
Dello;BS;D270
Demonte;CN;D271
Denice;AL;D272
Denno;TN;D273
Dernice;AL;D277
Derovere;CR;D278
Deruta;PG;D279
Dervio;LC;D280
Desana;VC;D281
Desenzano del Garda;BS;D284
Desio;MB;D286
Desulo;NU;D287
Diamante;CS;D289
Scigliano;CS;D290
Diano d'Alba;CN;D291
Teggiano;SA;D292
Diano Arentino;IM;D293
Diano Castello;IM;D296
Diano Marina;IM;D297
Diano San Pietro;IM;D298
Dicomano;FI;D299
Dignano;UD;D300
Dinami;VV;D303
Dipignano;CS;D304
Diso;LE;D305
Divignano;NO;D309
Dizzasco;CO;D310
Dobbiaco/Toblach;BZ;D311
Doberdò del Lago-Doberdob;GO;D312
Dogliani;CN;D314
Dogliola;CH;D315
Dogna;UD;D316
Dolcè;VR;D317
Dolceacqua;IM;D318
Dolcedo;IM;D319
Dolegna del Collio;GO;D321
Dolianova;SU;D323
San Dorligo della Valle-Dolina;TS;D324
Dolo;VE;D325
Dolzago;LC;D327
Domanico;CS;D328
Domaso;CO;D329
Domegge di Cadore;BL;D330
Domicella;AV;D331
Domodossola;VB;D332
Domus de Maria;SU;D333
Domusnovas;SU;D334
Donnas;AO;D338
Donato;BI;D339
Dongo;CO;D341
Donori;SU;D344
Dorgali;NU;D345
Dorio;LC;D346
Dormelletto;NO;D347
Dorno;PV;D348
Dorzano;BI;D350
Dosolo;MN;D351
Dossena;BG;D352
Dosso del Liro;CO;D355
Doues;AO;D356
Dovadola;FC;D357
Dovera;CR;D358
Dozza;BO;D360
Dragoni;CE;D361
Drapia;VV;D364
Drena;TN;D365
Drenchia;UD;D366
Dresano;MI;D367
Dro;TN;D371
Dronero;CN;D372
Druento;TO;D373
Druogno;VB;D374
Dualchi;NU;D376
Dubino;SO;D377
Dueville;VI;D379
Dugenta;BN;D380
Duino Aurisina-Devin Nabrežina;TS;D383
Dumenza;VA;D384
Duno;VA;D385
Durazzano;BN;D386
Dusino San Michele;AT;D388
Eboli;SA;D390
Edolo;BS;D391
Egna/Neumarkt;BZ;D392
Elice;PE;D394
Elini;NU;D395
Ello;LC;D398
Elmas;CA;D399
Elva;CN;D401
Emarèse;AO;D402
Empoli;FI;D403
Endine Gaiano;BG;D406
Enego;VI;D407
Enemonzo;UD;D408
Entracque;CN;D410
Entratico;BG;D411
Envie;CN;D412
Episcopia;PZ;D414
Eraclea;VE;D415
Erba;CO;D416
Erbè;VR;D419
Erbezzo;VR;D420
Erbusco;BS;D421
Erchie;BR;D422
Erice;TP;D423
Erli;SV;D424
Erto e Casso;PN;D426
Erve;LC;D428
Esanatoglia;MC;D429
Escalaplano;SU;D430
Escolca;SU;D431
Exilles;TO;D433
Esine;BS;D434
Esino Lario;LC;D436
Esperia;FR;D440
Esporlatu;SS;D441
Este;PD;D442
Esterzili;SU;D443
Etroubles;AO;D444
Eupilio;CO;D445
Fabbrica Curone;AL;D447
Fabbrico;RE;D450
Fabriano;AN;D451
Fabrica di Roma;VT;D452
Fabrizia;VV;D453
Fabro;TR;D454
Faedis;UD;D455
Faedo Valtellino;SO;D456
Faedo;TN;D457
Faenza;RA;D458
Faeto;FG;D459
Fagagna;UD;D461
Faggeto Lario;CO;D462
Faggiano;TA;D463
Fagnano Castello;CS;D464
Fagnano Alto;AQ;D465
Fagnano Olona;VA;D467
Fai della Paganella;TN;D468
Faicchio;BN;D469
Falcade;BL;D470
Falciano del Massico;CE;D471
Falconara Marittima;AN;D472
Falconara Albanese;CS;D473
Falcone;ME;D474
Faleria;VT;D475
Falerna;CZ;D476
Falerone;FM;D477
Fallo;CH;D480
Faloppio;CO;D482
Falvaterra;FR;D483
Falzes/Pfalzen;BZ;D484
Fanano;MO;D486
Fanna;PN;D487
Fano;PU;D488
Fano Adriano;TE;D489
Fara Gera d'Adda;BG;D490
Fara Olivana con Sola;BG;D491
Fara Novarese;NO;D492
Fara in Sabina;RI;D493
Fara Filiorum Petri;CH;D494
Fara San Martino;CH;D495
Fara Vicentino;VI;D496
Fardella;PZ;D497
Farigliano;CN;D499
Farindola;PE;D501
Farini;PC;D502
Farnese;VT;D503
Farra d'Isonzo;GO;D504
Farra di Soligo;TV;D505
Fasano;BR;D508
Fascia;GE;D509
Fauglia;PI;D510
Faule;CN;D511
Favale di Malvaro;GE;D512
Valsinni;MT;D513
Favara;AG;D514
Favignana;TP;D518
Favria;TO;D520
Orco Feglino;SV;D522
Feisoglio;CN;D523
Feletto;TO;D524
Felino;PR;D526
Felitto;SA;D527
Felizzano;AL;D528
Feltre;BL;D530
Fenegrò;CO;D531
Fenestrelle;TO;D532
Fénis;AO;D537
Ferentillo;TR;D538
Ferentino;FR;D539
Ferla;SR;D540
Fermignano;PU;D541
Fermo;FM;D542
Ferno;VA;D543
Feroleto Antico;CZ;D544
Feroleto della Chiesa;RC;D545
Pianopoli;CZ;D546
Ferrandina;MT;D547
Ferrara;FE;D548
Ferrara di Monte Baldo;VR;D549
Ferrazzano;CB;D550
Ferrera di Varese;VA;D551
Ferrera Erbognone;PV;D552
Moncenisio;TO;D553
Ferrere;AT;D554
Ferriere;PC;D555
Ferruzzano;RC;D557
Fraconalto;AL;D559
Fiamignano;RI;D560
Fiano Romano;RM;D561
Fiano;TO;D562
Fiastra;MC;D564
Fiavè;TN;D565
Poggio San Vicino;MC;D566
Ficarazzi;PA;D567
Ficarolo;RO;D568
Ficarra;ME;D569
Ficulle;TR;D570
Fiè allo Sciliar/Völs am Schlern;BZ;D571
Fierozzo;TN;D573
Fiesco;CR;D574
Fiesole;FI;D575
Fiesse;BS;D576
Fiesso Umbertiano;RO;D577
Fiesso d'Artico;VE;D578
Figino Serenza;CO;D579
Figline Vegliaturo;CS;D582
Gonnosnò;OR;D585
Filacciano;RM;D586
Filadelfia;VV;D587
Filago;BG;D588
Filandari;VV;D589
Filattiera;MS;D590
Filettino;FR;D591
Filetto;CH;D592
Filiano;PZ;D593
Filighera;PV;D594
Filignano;IS;D595
Filogaso;VV;D596
Filottrano;AN;D597
Finale Emilia;MO;D599
Finale Ligure;SV;D600
Fino del Monte;BG;D604
Fino Mornasco;CO;D605
Fiorano al Serio;BG;D606
Fiorano Modenese;MO;D607
Fiorano Canavese;TO;D608
Fiorenzuola d'Arda;PC;D611
Firenze;FI;D612
Firenzuola;FI;D613
Firmo;CS;D614
Fisciano;SA;D615
Fiumalbo;MO;D617
Fiumara;RC;D619
Fiume Veneto;PN;D621
Fiumedinisi;ME;D622
Fiumefreddo di Sicilia;CT;D623
Fiumefreddo Bruzio;CS;D624
Fiuminata;MC;D628
Fivizzano;MS;D629
Flaibano;UD;D630
Flero;BS;D634
Floresta;ME;D635
Floridia;SR;D636
Florinas;SS;D637
Flumeri;AV;D638
Fluminimaggiore;SU;D639
Flussio;OR;D640
Fobello;VC;D641
Foggia;FG;D643
Foglianise;BN;D644
Fogliano Redipuglia;GO;D645
Foglizzo;TO;D646
Foiano della Chiana;AR;D649
Foiano di Val Fortore;BN;D650
Folgaria;TN;D651
Folignano;AP;D652
Foligno;PG;D653
Follina;TV;D654
Follo;SP;D655
Follonica;GR;D656
Fombio;LO;D660
Fondachelli-Fantina;ME;D661
Fondi;LT;D662
Fondo;TN;D663
Fonni;NU;D665
Fontainemore;AO;D666
Fontana Liri;FR;D667
Fontanelice;BO;D668
Fontanafredda;PN;D670
Fontanarosa;AV;D671
Fontanella;BG;D672
Fontanellato;PR;D673
Fontanelle;TV;D674
Fontaneto d'Agogna;NO;D675
Fontanetto Po;VC;D676
Fontanigorda;GE;D677
Fontanile;AT;D678
Fontaniva;PD;D679
Fonte;TV;D680
Fontecchio;AQ;D681
Fontechiari;FR;D682
Fontegreca;CE;D683
Fonteno;BG;D684
Fontevivo;PR;D685
Fonzaso;BL;D686
Foppolo;BG;D688
Forano;RI;D689
San Giovanni Teatino;CH;D690
Force;AP;D691
Forchia;BN;D693
Forcola;SO;D694
Fordongianus;OR;D695
Forenza;PZ;D696
Foresto Sparso;BG;D697
Forgaria nel Friuli;UD;D700
Forino;AV;D701
Forio;NA;D702
Forlì del Sannio;IS;D703
Forlì;FC;D704
Forlimpopoli;FC;D705
Formazza;VB;D706
Formello;RM;D707
Formia;LT;D708
Formicola;CE;D709
Formigara;CR;D710
Formigine;MO;D711
Formigliana;VC;D712
Fornace;TN;D714
Fornelli;IS;D715
Tonezza del Cimone;VI;D717
Forni Avoltri;UD;D718
Forni di Sopra;UD;D719
Forni di Sotto;UD;D720
Forno Canavese;TO;D725
Fornovo San Giovanni;BG;D727
Fornovo di Taro;PR;D728
Forte dei Marmi;LU;D730
Fortezza/Franzensfeste;BZ;D731
Fortunago;PV;D732
Forza d'Agrò;ME;D733
Fosciandora;LU;D734
Fosdinovo;MS;D735
Fossa;AQ;D736
Fossalto;CB;D737
Fossacesia;CH;D738
Fossalta di Piave;VE;D740
Fossalta di Portogruaro;VE;D741
Fossano;CN;D742
Fossato Serralta;CZ;D744
Fossato di Vico;PG;D745
Montebello Jonico;RC;D746
Fossò;VE;D748
Fossombrone;PU;D749
Foza;VI;D750
Frabosa Soprana;CN;D751
Frabosa Sottana;CN;D752
Fragagnano;TA;D754
Fragneto l'Abate;BN;D755
Fragneto Monforte;BN;D756
Fraine;CH;D757
Framura;SP;D758
Francavilla Bisio;AL;D759
Francavilla d'Ete;FM;D760
Francavilla Fontana;BR;D761
Francavilla Angitola;VV;D762
Francavilla al Mare;CH;D763
Francavilla Marittima;CS;D764
Francavilla di Sicilia;ME;D765
Francavilla in Sinni;PZ;D766
Francica;VV;D767
Francofonte;SR;D768
Francolise;CE;D769
Frascaro;AL;D770
Frascarolo;PV;D771
Frascati;RM;D773
Frascineto;CS;D774
Frassilongo;TN;D775
Frassinelle Polesine;RO;D776
Frassinello Monferrato;AL;D777
Frassineto Po;AL;D780
Frassinetto;TO;D781
Frassino;CN;D782
Frassinoro;MO;D783
Frasso Telesino;BN;D784
Frasso Sabino;RI;D785
Umbertide;PG;D786
Fratta Todina;PG;D787
Fratta Polesine;RO;D788
Frattamaggiore;NA;D789
Frattaminore;NA;D790
Fratte Rosa;PU;D791
Frazzanò;ME;D793
Fregona;TV;D794
Fresagrandinaria;CH;D796
Fresonara;AL;D797
Frigento;AV;D798
Frignano;CE;D799
Villa di Briano;CE;D801
Frinco;AT;D802
Frisa;CH;D803
Frisanco;PN;D804
Front;TO;D805
Frontino;PU;D807
Frontone;PU;D808
Frosinone;FR;D810
Frosolone;IS;D811
Frossasco;TO;D812
Frugarolo;AL;D813
Fubine Monferrato;AL;D814
Fucecchio;FI;D815
Fuipiano Valle Imagna;BG;D817
Fumane;VR;D818
Fumone;FR;D819
Funes/Villnöß;BZ;D821
Furci;CH;D823
Furci Siculo;ME;D824
Furnari;ME;D825
Furore;SA;D826
Furtei;SU;D827
Fuscaldo;CS;D828
Fusignano;RA;D829
Fusine;SO;D830
Futani;SA;D832
Gabbioneta-Binanuova;CR;D834
Gabiano;AL;D835
Gabicce Mare;PU;D836
Gaby;AO;D839
Gadesco-Pieve Delmona;CR;D841
Gadoni;NU;D842
Gaeta;LT;D843
Gaggi;ME;D844
Gaggiano;MI;D845
Gaggio Montano;BO;D847
Gaglianico;BI;D848
Gagliano Castelferrato;EN;D849
Gagliano Aterno;AQ;D850
Gagliano del Capo;LE;D851
Gagliato;CZ;D852
Gagliole;MC;D853
Gaiarine;TV;D854
Gaiba;RO;D855
Gaiola;CN;D856
Gaiole in Chianti;SI;D858
Gairo;NU;D859
Gais/Gais;BZ;D860
Galati Mamertino;ME;D861
Galatina;LE;D862
Galatone;LE;D863
Galatro;RC;D864
Galbiate;LC;D865
Galeata;FC;D867
Galgagnano;LO;D868
Gallarate;VA;D869
Gallese;VT;D870
Galliate Lombardo;VA;D871
Galliate;NO;D872
Galliavola;PV;D873
Gallicano;LU;D874
Gallicano nel Lazio;RM;D875
Gallicchio;PZ;D876
Galliera;BO;D878
Galliera Veneta;PD;D879
Gallinaro;FR;D881
Gallio;VI;D882
Gallipoli;LE;D883
Gallo Matese;CE;D884
Gallodoro;ME;D885
Galluccio;CE;D886
Galtellì;NU;D888
Galzignano Terme;PD;D889
Gamalero;AL;D890
Gambara;BS;D891
Gambarana;PV;D892
Gambasca;CN;D894
Gambassi Terme;FI;D895
Gambatesa;CB;D896
Gambellara;VI;D897
Gamberale;CH;D898
Gambettola;FC;D899
Gambolò;PV;D901
Gambugliano;VI;D902
Gandellino;BG;D903
Gandino;BG;D905
Gandosso;BG;D906
Gangi;PA;D907
Garaguso;MT;D909
Garbagna;AL;D910
Garbagna Novarese;NO;D911
Garbagnate Milanese;MI;D912
Garbagnate Monastero;LC;D913
Garda;VR;D915
Gardone Riviera;BS;D917
Gardone Val Trompia;BS;D918
Garessio;CN;D920
Gargallo;NO;D921
Gargazzone/Gargazon;BZ;D923
Gargnano;BS;D924
Garlasco;PV;D925
Garlate;LC;D926
Garlenda;SV;D927
Garniga Terme;TN;D928
Garzeno;CO;D930
Garzigliana;TO;D931
Gasperina;CZ;D932
Gassino Torinese;TO;D933
Gattatico;RE;D934
Gatteo;FC;D935
Gattinara;VC;D938
Gavardo;BS;D940
Gavello;RO;D942
Gaverina Terme;BG;D943
Gavi;AL;D944
Gavignano;RM;D945
Gavirate;VA;D946
Gavoi;NU;D947
Gavorrano;GR;D948
Gazoldo degli Ippoliti;MN;D949
Gazzada Schianno;VA;D951
Gazzaniga;BG;D952
Gazzo;PD;D956
Gazzo Veronese;VR;D957
Gazzola;PC;D958
Gazzuolo;MN;D959
Gela;CL;D960
Gemmano;RN;D961
Gemona del Friuli;UD;D962
Gemonio;VA;D963
Genazzano;RM;D964
Genga;AN;D965
Genivolta;CR;D966
Genola;CN;D967
Genoni;SU;D968
Genova;GE;D969
Genuri;SU;D970
Genzano di Lucania;PZ;D971
Genzano di Roma;RM;D972
Gera Lario;CO;D974
Gerace;RC;D975
Locri;RC;D976
Geraci Siculo;PA;D977
Gerano;RM;D978
Gerenzago;PV;D980
Gerenzano;VA;D981
Gergei;SU;D982
Germagnano;TO;D983
Germagno;VB;D984
Germignaga;VA;D987
Gerocarne;VV;D988
Gerola Alta;SO;D990
Gerre de' Caprioli;CR;D993
Gesico;SU;D994
Gessate;MI;D995
Gessopalena;CH;D996
Gesturi;SU;D997
Gesualdo;AV;D998
Ghedi;BS;D999
